test,UniqueID,Gene.Name,logFC,P.Value,Adj.P.Value
DEG.wk52,ENSG00000230649,AC024084.2,-0.020768822,0.765113222,0.865469251
DEG.wk52,ENSG00000230658,KLHL7-DT,0.113589398,0.255549231,0.449805374
DEG.wk52,ENSG00000230701,FBXW4P1,-0.008770564,0.873696068,0.931808762
DEG.wk52,ENSG00000230715,AC018638.2,-0.241148693,0.002894058,0.018621247
DEG.wk52,ENSG00000230724,LINC01001,-0.135593047,0.114081076,0.267993648
DEG.wk52,ENSG00000230732,AC016949.1,0.00669001,0.908211387,0.952197785
DEG.wk52,ENSG00000230735,AC093423.2,0.035209842,0.691223062,0.818633288
DEG.wk52,ENSG00000230747,AC021188.1,0.201102094,0.007466165,0.038684429
DEG.wk52,ENSG00000230751,AC007036.2,-0.073601555,0.48762549,0.671578463
DEG.wk52,ENSG00000230769,Z98048.1,-0.003497539,0.975545467,0.987536081
DEG.wk52,ENSG00000230772,VN1R108P,-0.133994956,0.191299207,0.373991188
DEG.wk52,ENSG00000230773,AC092650.1,-0.10988209,0.120362937,0.277806398
DEG.wk52,ENSG00000230783,RPS3AP13,-0.100383579,0.413257432,0.607424998
DEG.wk52,ENSG00000230789,ARHGAP26-IT1,-0.072473954,0.332763416,0.533051043
DEG.wk52,ENSG00000230797,YY2,-0.063690585,0.235894085,0.428369228
DEG.wk52,ENSG00000230815,AL807757.1,-0.325557357,0.006979138,0.036749493
DEG.wk52,ENSG00000230825,AC005532.1,-0.559520126,1.16e-16,1.02e-14
DEG.wk52,ENSG00000230833,RPEP3,-0.022813513,0.826979384,0.903197075
DEG.wk52,ENSG00000230844,ZNF674-AS1,0.114918801,0.004351561,0.025450593
DEG.wk52,ENSG00000230869,AGAP10P,0.095086921,0.48001433,0.665204621
DEG.wk52,ENSG00000230896,AL604028.1,0.116111545,0.20309536,0.388173505
DEG.wk52,ENSG00000230910,AL391807.1,0.466853346,1.13e-05,0.000185315
DEG.wk52,ENSG00000230918,DPP4-DT,-0.026555248,0.821167505,0.8992345
DEG.wk52,ENSG00000230928,AL139241.1,-0.02069965,0.698556518,0.823641217
DEG.wk52,ENSG00000230989,HSBP1,0.055260825,0.187192516,0.369106134
DEG.wk52,ENSG00000231028,LINC00271,0.022630999,0.821134829,0.8992345
DEG.wk52,ENSG00000231035,RPL7L1P9,-0.083195002,0.406700272,0.601499821
DEG.wk52,ENSG00000231047,GCNT1P3,0.076149759,0.312409525,0.512545109
DEG.wk52,ENSG00000231050,AL109917.1,-0.158328861,0.129874241,0.29192301
DEG.wk52,ENSG00000231066,NPM1P9,0.229762771,0.050155859,0.154385546
DEG.wk52,ENSG00000231074,HCG18,0.068393472,0.032217814,0.113140172
